;Gloss;Examples
1. ;"aa iu ~ 「ああいう〜」 {ああ言う〜 51} [""such __""]: Tobira ch4 #10.";1593-45.
2. ;"A ba B hodo 「AばBほど」 {AばB程* 588} [""the more A, the more B""]: DJG v2 p6; Marx v2 day58; Tobira ch8 #5.";"143-3; 588-8; 934-17."
3. ;"aete ~ 「あえて〜」 {敢えて〜* 809} [""dare to __"", ""venture to __""]: DJG v3 p3; Tobira ch2 #3.";"809-2; 809-9; 1191-26."
4. ;"~ ageku (ni) 「〜あげく(に)」 {〜挙げ句に* / 〜揚げ句に* 1247, 166} [""after much __ing""]: DJG v3 p7.";"1144-31; 1589-10."
5. ;"ageru 「あげる」 {上げる* 41} [""give (to someone)""]: DJG v1 p63; Genki ch14; Marx v2 day30.";"3-2; 29-7."
6. ;"~ aida ni 「〜あいだに」 {〜間に 448} [""while __""]: DJG v1 p67; Genki ch21; Marx v1 day88.";"4-3; 10-2; 75-9."
7. ;"akumade (mo) 「あくまで(も)」 {飽くまで(も)* / 飽く迄(も)** 1964, 1806} [""to the last""]: DJG v3 p11.";1971-20.
8. ;"~ amari 「〜あまり」 {〜余り 995} [""on account of too much __""]: DJG v2 p3.";"941-12; 1237-9; 1597-8; 1990-7."
9. ;"amari ~ nai/anmari ~ nai 「あまり〜ない / あんまり〜ない」 {余り〜ない 995} [""not very (much) __""]: DJG v1 p72.";"76-3; 114-8; 226-3; 274-17; 383-31."
10. ;"amari ni (mo) ~/anmari ni (mo) 「あまりに(も)〜 / あんまりに(も)〜」 {余りに(も)〜 995} [""too __""]: Tobira ch13 #10.";"217-3; 302-6."
11. ;"anata 「あなた」 {貴方 1177, 173} [formal: ""you""]: DJG v1 p28.";"21-3; 46-8; 232-6."
12. ;"A no wa B no koto da 「AのはBのことだ」 {AのはBの事だ* 80} [time of occurrence: ""It was/will be B when A""]: DJG v2 p313; Tobira ch1 #13.";1737-5.
13. ;"~ arimasu ka 「〜ありますか」 {〜有りますか* 400} [""is/are there any __?""; ""do you have any __?""]: Genki ch4; Marx v1 day15.";1-5.
14. ;"aru 「ある」 {有る 400} [""exist""; ""have""]: DJG v1 p73.";"1-5; 2-3; 3-4; 3-7."
15. ;"aruiwa 「あるいは」 {或は* 1152} [""or""]: DJG v3 p16; Tobira ch9 #5.";"454-6; 976-26; 1152-2."
16. ;"ataka mo ~ 「あたかも〜」 [""as if __""]: DJG v3 p21.";"1525-44; 1803-8; 1877-13."
17. ;"~ ato 「〜あと」 {〜後 114} [""after __""].";"114-11; 138-2."
18. ;"ato ~ 「あと〜」 {後〜 114} [""__ left"", ""__ longer"", ""__ until""].";"1-4; 1-7."
19. ;"~ to iu koto wa 「〜ということは」 {〜と言うことは* / 〜と言う事は** 51, 80} [presents preceding clause as the subject of the sentence: ""that __""]: DJG v2 p480; Marx v2 day18.";"649-19; 653-27; 1118-10; 1518-12; 1554-10."
20. ;waa 「わあ」 [female: exclamation]: DJG v1 p47 bottom.;2015-4.
21. ;"A wa B da 「AはBだ」 [""A is B""]: DJG v1 p521; Genki ch1; Marx v1 day8.";"3-5; 4-5; 5-4; 7-5; 8-3; 8-7; 9-3; 9-8."
22. ;"-ba 「-ば」 [""if __""]: DJG v1 p81; Genki ch22.";"58-4; 91-5; 91-9."
23. ;"~ bakari 「〜ばかり」 [""just __""]: DJG v1 p84 & 402; Marx v2 day39; Tobira ch4 #18.";"134-2; 179-14; 269-10; 553-9."
24. ;"~ bakari ka 「〜ばかりか」 [""not just __""].";"1062-21; 1497-4."
25. ;"-ba yokatta 「-ばよかった」 {-ば良かった* 285} [""should have __ed""; ""wish had __ed""]: DJG v1 p87; Genki ch18.";"143-8; 148-7; 274-8."
26. ;"~ bekarazu/~ bekarazaru 「〜べからず / 〜べからざる」 [""do not __""]: DJG v3 p29.";"1153-13; 1273-5."
27. ;"~ beki da 「〜べきだ」 [""should  __""; ""must  __""]: DJG v2 p11; Marx v1 day53; Tobira ch11 #12.";"79-6; 159-10; 189-4."
28. ;"~ beku 「〜べく」 [""in order to __""; ""so that __""]: DJG v3 p32.";"1223-17; 1481-21; 1605-17."
29. ;"~ beku mo nai 「〜べくもない」 [""there is no way to __""]: DJG v3 p34.";2222-9.
30. ;"boku 「ぼく」 {僕 1358} [informal: ""I""]: DJG v1 p28.";"15-17; 17-4; 40-2."
31. ;-bun 「-ぶん」 {-分 88} [portion]: DJG v2 p16.;88-8.
32. ;"-buri 「-ぶり」 {-振り* 903} [""for the first time in __""]: DJG v2 p343 (covered under -らい).";"6-2; 904-3."
33. ;-cha 「-ちゃ」 [colloquial contraction of -ては: links a verb with a negative statement]: DJG v2 p461 (covered under -ては).;1160-10.
34. ;"-chau 「-ちゃう」 [colloquial contraction of -てしまう: ""do (something regrettable)""; ""finish __ing""]: DJG v1 p384 (covered under -てしまう); Marx v2 day28.";"529-18; 1941-6."
35. ;"chinami ni ~ 「ちなみに〜」 {因みに〜** 1725} [""incidentally __""]: DJG v3 p40.";632-24.
36. ;"chittomo ~ nai 「ちっとも〜ない」 {些とも〜ない* 1789} [""no __ whatsoever""]: DJG v3 p334 (covered under なんら〜ない).";"942-28; 2050-13."
37. ;"Compound verbs 「Compound verbs」: DJG v1 p610, v2 p626; Marx v1 day33.";"59-2; 64-7; 67-6."
38. ;"Counters 「Counters」: DJG v1 p604; Genki ch9; Marx v1 day81.";"2-1; 3-2."
39. ;"da ga 「だが」 [""but""]: DJG v2 p18; Tobira ch10 #13.";106-7.
40. ;dai 「だい」 [male alternative to か]: DJG v1 p48 middle & 90.;1332-4.
41. ;"da kara 「だから」 [""so"", ""that’s why""; ""since"", ""because""]: DJG v1 p413; Marx v2 day11.";"43-4; 86-20; 87-6."
42. ;"da kara to itte 「だからといって〜」 {だからと言って〜 51} [""but it doesn’t follow that __""]: DJG v2 p21.";2225-11.
43. ;"~ dake 「〜だけ」 [""just __""]: DJG v1 p93; Marx v2 day39.";"15-7; 19-4; 51-6; 65-11; 95-9."
44. ;"~ dake de 「〜だけで」 [""just by __ing""]: DJG v2 p23; Tobira ch13 #9.";"850-21; 981-24; 1260-32."
45. ;"~ dake de (wa) naku/~ dake ja nakute 「〜だけで(は)なく / 〜だけじゃなくて」 [""not just __""]: Tobira ch1 #14.";"418-4; 983-14; 1101-21."
46. ;"da kedo 「だけど」 [""but""]: DJG v1 p120, v2 p18; Marx v1 day59.";"231-3; 258-5; 280-17."
47. ;"~ dake no koto wa aru 「〜だけのことはある」 {〜だけの事はある* 80} [""not __ for nothing""]: DJG v3 p51.";1462-14.
48. ;"~ dano 「〜だの」 [""__ and __ and the like""]: DJG v3 p57.";1475-58.
49. ;"-darake 「-だらけ」 [""covered all over with __""; ""full of __""]: DJG v2 p25.";"78-13; 198-5; 878-15; 882-20."
50. ;"dare ka 「だれか」 {誰か 2155} [""someone""]: Marx v1 day18.";"159-19; 266-22."
51. ;"dare mo 「だれも」 {誰も 2155} [""no one""]: DJG v1 p250; Marx v1 day18.";"47-10; 66-9."
52. ;"dare no 「だれの」 {誰の 2155} [""whose""]: Genki ch2.";98-1.
53. ;"darou/deshou 「〜だろう / 〜でしょう」 [""probably __""]: DJG v1 p100; Genki ch12; Tobira ch2 #9.";"36-5; 62-2; 265-3; 280-11."
54. ;"~ darou ga/to ~ darou ga/to 「〜だろうが〜だろうが / 〜だろうと〜だろうと」 [""be it __ or __""]: DJG v3 p644 (covered under 〜といわず).";"815-17; 923-18; 2179-19."
55. ;"darou ka/deshou ka 「〜だろうか / 〜でしょうか」 [""I wonder __""]: DJG v3 p715; Tobira ch6 #4.";"55-4; 67-10; 115-7; 118-4."
56. ;"-dasu 「-だす」 {-出す 38} [""__ out""; ""start to __""]: DJG v1 p102; Tobira ch7 #6.";"59-2; 83-13; 87-4; 90-11; 166-5."
57. ;"datta 「だった」 [past tense of copula だ]: DJG v1 p580 bottom; Genki ch9; Marx v1 day37.";"2-4; 33-11; 48-3."
58. ;"datte 「だって〜」 [""because __""]: DJG v3 p60.";613-12.
59. ;"~ datte 「〜だって」 [""__ too""; ""even __""]: DJG v3 p63.";"189-12; 1247-12; 1350-30."
60. ;"~ de 「〜で」 [""due to __""]: DJG v1 p107.";"91-10; 108-7."
61. ;"~ de 「〜で」 [instrument]: DJG v1 p106; Genki ch10.";"8-5; 17-3; 40-10; 79-3; 88-7; 99-12."
62. ;~ de 「〜で」 [location]: DJG v1 p105.;"2-7; 33-8; 36-2; 37-4."
63. ;~ de 「〜で」 [time]: DJG v1 p109.;"10-1; 50-6."
64. ;"~ de are 「〜であれ」 [""though it may be __""]: DJG v3 p67.";"953-11; 1863-10; 2052-8."
65. ;"~ de are ~ de are 「〜であれ〜であれ」 [""be it __ or __""]: DJG v3 p70.";"1596-21; 1761-20; 1984-22; 2037-12."
66. ;~ de arou 「〜であろう」 [expression of conjecture or resoluteness]: DJG v2 p29.;"455-16; 1046-12."
67. ;"de aru vs. da 「である vs. だ」: DJG v2 p30, v3 p35 of front matter; Tobira ch7 #5.";"15-10; 75-6."
68. ;"~ de atte mo 「〜であっても」 [""though it may be __""]: DJG v3 p70 (covered under であれ).";"1121-32; 1198-12; 1223-23."
69. ;"~ de dekiru 「〜でできる」 {〜で出来る 38, 274} [""be made of __""]: Tobira ch1 #1.";"28-5; 211-2; 212-2."
70. ;"~ de gozaimasu 「〜でございます」 {〜で御座います** 862, 749} [""be __""]: DJG v1 p41.";1595-37.
71. ;"dekiru dake ~ 「できるだけ〜」[""as __ as possible"", ""as much as possible __""]: Marx v2 day4.";"407-10; 651-14; 669-14; 922-27."
72. ;"~ demo 「〜でも」 [""even __""]: DJG v1 p111; Marx v1 day18.";"80-16; 142-23; 232-8."
73. ;de wa nai vs. ja nai 「ではない vs. じゃない」: DJG v3 p35 of front matter.;"15-20; 126-25."
74. ;"doko ka 「どこか」 {何処か** 815, 553} [""somewhere""]: Genki ch10; Marx v1 day18.";"339-9; 992-14."
75. ;"doko mo 「どこも」 {何処も** 815, 553} [""everywhere""; ""anywhere""]: DJG v1 p250; Genki ch10; Marx v1 day18.";899-15.
76. ;"~ dokoro ka 「〜どころか」 [""far from  __""]: DJG v2 p34.";"1748-8; 2092-9."
77. ;-domo 「-ども」 {-共 356} [plural personal pronoun suffix]: DJG v1 p28 bottom & 440, v3 p47 & 50-51 of front matter (covered under -たち).;"94-13; 486-26; 546-40; 1510-21."
78. ;"donna ni ~ 「どんなに〜」 [""no matter how  __""]: DJG v3 p135 & 138.";"232-8; 423-16; 1236-34."
79. ;"donna ni ~ ka 「どんなに〜か」 [""how __(!)""]: DJG v2 p39.";"703-5; 1380-12; 1470-22."
80. ;"dore hodo ~ ka 「どれほど〜か」 {どれ程〜か* 588} [""how __(!)""]: DJG v2 p39.";"1878-12; 2145-15."
81. ;"dou 「どう」 {如何** 2197, 815} [""how""]: DJG v1 p114.";"93-4; 104-6; 222-12."
82. ;"dou ka ~ 「どうか〜」 {如何か〜** 2197, 815} [""please by all means __""; ""pray  __""]: DJG v3 p82.";"402-10; 794-14; 1160-11; 1427-13; 1402-3; 1562-5."
83. ;"doumo 「どうも」 [""somehow""; ""no matter how""]: DJG v2 p36.";"15-21; 276-19; 385-9; 546-31."
84. ;"dou ni ka ~ 「どうにか〜」 {如何にか〜** 2197, 815} [""somehow""]: DJG v3 p341 (covered under なんとか〜).";1448-19.
85. ;"-doushi 「-どうし」 {-同士 182, 350} [""fellow __""; ""between/among __""]: DJG v3 p94; Tobira ch11 #11.";"350-8; 498-12; 758-39; 777-6; 963-10."
86. ;"douzo 「どうぞ」 [""please""]: DJG v3 p84 (covered under どうか〜).";"35-7; 41-1; 80-11."
87. ;e 「へ」 [indicates direction]: DJG v1 p116.;"41-1; 55-2."
88. ;Ellipsis 「Ellipsis」: DJG v1 p23.;"1-5; 2-6; 2-9."
89. ;"~ fuu ni 「〜ふうに」 {〜風に 425} [""in (such a) way""]: DJG v2 p44.";"1026-18; 1472-22."
90. ;"ga 「が」 [""but""]: DJG v1 p120, v2 p18; Marx v1 day59.";"83-31; 84-9."
91. ;"ga 「が」 [subject marker]: DJG v1 p118; Genki ch8; Marx v1 day8.";"1-2; 1-5; 1-8."
92. ;"-gachi 「-がち」 {-勝ち 460} [""tend to __""]: DJG v2 p47; Marx v2 day64.";"75-6; 422-25; 1662-14."
93. ;"~ ga hoshii 「〜がほしい」 {〜が欲しい 1035} [""want  __""]: DJG v1 p144; Genki ch14; Marx v1 day48.";"6-6; 10-6; 12-5."
94. ;"-garu 「-がる」 [have or express a feeling; pretend]: DJG v1 p123; Marx v2 day63.";"252-3; 309-15; 432-11; 659-4."
95. ;-gata 「-がた」 {-方 173} [plural personal pronoun suffix]: DJG v1 p28 bottom & 440, v3 p47 of front matter.;"232-6; 869-43; 873-12; 988-11."
96. ;"-gatai 「-がたい」 {-難い* 712} [""un__able""]: DJG v2 p50.";"151-8; 548-10; 683-24; 843-31; 1013-10."
97. ;"-ge 「-げ」[""__-looking"", ""__-like""]: Marx v2 day68.";"336-6; 452-5; 460-4; 506-3; 597-25; 779-6; 934-15; 1152-6; 1218-5."
98. ;"~ goro 「〜ごろ」 {〜頃* 1916} [""around __""]: DJG v1 p126.";"35-2; 115-4; 265-2."
99. ;"-goto ni 「-ごとに」 {-毎に* 105} [""every __""]: DJG v1 p128.";"1-1; 55-15; 105-1."
100. ;"~ gotoshi 「〜ごとし」 {〜如し* 2197} [""as if __""]: DJG v3 p103.";2197-6.
101. ;"gyaku ni 「ぎゃくに」 {逆に 1775} [""on the contrary""]: DJG v2 p53; Tobira ch8 #8.";1775-21.
102. ;"-hajimeru 「-はじめる」 {-始める 956} [""begin to __""]: DJG v1 p131; Tobira ch1 #8.";"498-8; 889-20; 1225-13."
103. ;"hatashite 「はたして〜」 {果たして〜* 599} [""indeed __""]: DJG v3 p111.";"1231-4; 1248-8."
104. ;"hazu 「はず」 {筈* 1442} [expectation]: DJG v1 p133; Genki ch19; Marx v1 day53; Tobira ch8 #9.";"106-7; 237-26; 284-9."
